ID,선수명,데뷔년도,팀명,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),포지션(수비),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,1차FA여부,2차FA여부,3차FA여부
72108,김우석,2002,LG,2004,0.174,43,51,46,8,8,2,0,1,13,2,1,0,3,0,1,10,0,0.283,0.24,0.523,2,0.182,0.0,3,17,11,0,4.04,0.109,3.3,0.179,43,0,0,0,0.0,0,0,유격수,40,13,162.33333333333331,2,0,41,45,14,0,0,0,0.9605749486652976,0.0,-0.165,0.0,0.0145985401,0.0145985401,0,83,0.6171373968000261,1975,9,2,30,4031.6659017898114,0.0,0.0,0.0
72108,김우석,2002,LG,2005,0.111,30,19,18,2,2,1,0,0,3,0,0,0,0,0,1,5,0,0.167,0.158,0.325,0,0.2,0.0,1,7,4,0,3.84,0.056,0.1,0.113,30,0,0,0,0.0,0,0,3루수,27,0,66.0,1,0,13,17,2,0,0,0,0.9757575757575758,0.0,-0.184,0.0,0.0,0.0145985401,0,102,1.547835448475118,1975,9,2,31,4206.179397022518,0.0,0.0,0.0
61869,정진기,2011,SK,2011,0.0,6,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,0.667,0.667,0,0.0,0.0,0,0,0,0,4.0,0.0,0.6,0.3,6,0,0,0,0.0,0,0,중견수,6,0,11.0,1,0,1,0,0,0,0,0,0.2272727272727272,0.0,0.011,0.0,0.00236127509,0.00236127509,0,3,0.0,1992,10,10,20,2614.0160555435023,0.0,0.0,0.0
61869,정진기,2011,SK,2012,0.125,14,10,8,1,1,0,0,0,1,0,0,0,2,0,0,3,0,0.125,0.3,0.425,0,0.0,0.0,0,2,2,0,4.8,0.0,0.5,0.166,14,0,0,0,0.0,0,0,좌익수,9,2,24.0,0,0,4,0,0,0,0,0,0.875,0.0,-0.036,0.0,0.0133079848,0.0156692599,0,13,0.0,1992,10,10,21,2687.9691579634464,0.0,0.0,0.0
61869,정진기,2011,SK,2017,0.234,90,212,197,37,46,5,1,11,86,35,2,0,9,0,4,55,1,0.437,0.281,0.718,9,0.3,0.167,17,52,44,4,3.94,0.203,25.8,0.236,90,4,4,0,100.0,0,0,좌익수,70,33,341.0,5,0,75,1,0,0,0,0,0.9335004887585532,0.0,0.015,0.0,0.0606989577,0.0833880006,0,233,0.0,1992,10,10,26,6257.57778841551,0.0,0.0,0.0
61869,정진기,2011,SK,2018,0.244,96,212,201,33,49,8,1,3,68,17,3,0,6,0,2,45,2,0.338,0.273,0.611,11,0.236,0.188,12,50,57,1,3.67,0.095,18.7,0.207,96,14,11,3,78.6,1,0,중견수,87,44,443.3333333333333,5,0,97,1,0,0,0,0,0.9495112781954888,0.0,-0.898,0.0,0.0340244551,0.117412456,0,445,0.0,1992,10,10,27,6233.705293276109,0.0,0.0,0.0
61869,정진기,2011,SK,2019,0.188,13,17,16,1,3,0,0,0,3,2,0,0,1,0,0,2,0,0.188,0.235,0.423,1,0.5,1.0,0,6,5,0,5.06,0.0,0.7,0.153,13,0,0,0,0.0,0,0,우익수,12,3,42.0,0,0,11,1,0,0,0,0,1.0,0.0,-0.153,0.0,0.00802854594,0.125441002,0,462,0.1623261801753929,1992,10,10,28,4600.0,0.0,0.0,0.0
74158,김태완,2000,LG,2004,0.083,15,37,36,1,3,0,0,0,3,2,0,1,0,0,0,15,0,0.083,0.081,0.164,1,0.143,0.0,0,8,11,0,3.97,0.0,-1.2,0.057,15,0,0,0,0.0,0,0,2루수,13,8,75.0,1,0,12,17,2,0,0,0,0.9733333333333334,0.0,-0.634,0.0,0.0145985401,0.0145985401,0,37,1.3696672472473232,1981,9,19,24,2956.554994645862,0.0,0.0,0.0
74158,김태완,2000,LG,2008,0.242,37,82,66,10,16,2,1,0,20,1,5,1,8,0,1,16,1,0.303,0.329,0.632,3,0.182,0.25,3,18,17,0,3.79,0.061,7.6,0.224,37,0,0,0,0.0,0,0,3루수,33,23,196.66666666666663,3,0,12,46,6,0,0,0,0.9492593220338984,0.0,0.107,0.0,0.123236124,0.173076955,0,169,0.046192440129626,1981,9,19,28,2979.582146248813,0.0,0.0,0.0
74158,김태완,2000,LG,2009,0.212,40,43,33,10,7,2,0,0,9,5,0,1,9,0,0,6,1,0.273,0.372,0.645,1,0.25,0.0,2,6,15,0,4.0,0.061,5.2,0.236,40,3,3,0,100.0,0,0,3루수,31,5,91.66666666666669,3,0,6,22,1,0,0,0,0.8545745454545453,0.0,0.185,0.0,0.135828877,0.308905832,0,212,1.02489226096127,1981,9,19,29,3241.875432449945,0.0,0.0,0.0
