선수명,ID,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
최경철,73824,넥센,포수,80,41,402,3,0,329,24,9,0.992,3,53,13,19.7
조동찬,72466,삼성,2루수,78,75,564 2/3,5,0,137,164,42,0.984,0,0,0,-
김상훈,70612,KIA,포수,77,51,457 1/3,2,0,330,31,4,0.994,3,42,17,28.8
이명우,72535,롯데,투수,74,0,52 2/3,0,0,1,13,0,1.000,0,0,0,-
차일목,73602,KIA,포수,74,60,493 1/3,2,1,393,35,4,0.995,1,43,12,21.8
이상열,96720,LG,투수,73,0,55 2/3,1,0,1,10,0,0.917,0,0,0,-
정수빈,79231,두산,우익수,72,63,538 1/3,0,0,144,6,1,1.000,0,0,0,-
배영섭,79465,삼성,좌익수,71,36,386,1,0,93,2,1,0.990,0,0,0,-
최대성,74543,롯데,투수,71,0,67 2/3,2,0,2,10,0,0.857,0,0,0,-
이진영,99810,LG,우익수,71,69,571 1/3,2,0,152,7,3,0.988,0,0,0,-
신경현,98742,한화,포수,70,47,403 2/3,3,0,334,28,0,0.992,0,54,18,25.0
김성배,73226,롯데,투수,69,0,53 1/3,0,0,2,9,2,1.000,0,0,0,-
정범모,76720,한화,포수,69,52,440,10,1,356,31,4,0.975,4,53,18,25.4
최재훈,78288,두산,포수,67,23,282 2/3,6,1,209,22,2,0.975,2,21,15,41.7
박희수,76858,SK,투수,65,0,82,0,3,5,18,3,1.000,0,0,0,-
정상호,71842,SK,포수,65,51,444 1/3,3,0,345,48,12,0.992,2,29,24,45.3
권혁,72447,삼성,투수,64,0,49 1/3,0,0,0,9,0,1.000,0,0,0,-
손주인,72456,삼성,2루수,63,29,307,1,0,71,93,18,0.994,0,0,0,-
고동진,74745,한화,우익수,63,43,407 1/3,0,0,103,3,0,1.000,0,0,0,-
박용택,72133,LG,중견수,63,57,465 2/3,0,0,135,1,1,1.000,0,0,0,-
박정진,99737,한화,투수,63,0,49 1/3,1,0,0,4,0,0.800,0,0,0,-
정의윤,75151,LG,좌익수,63,57,440 2/3,3,0,97,2,0,0.971,0,0,0,-
강동우,98420,한화,우익수,62,58,451 2/3,0,0,79,4,1,1.000,0,0,0,-
김경언,71610,한화,중견수,62,48,373,0,0,90,2,0,1.000,0,0,0,-
안승민,60713,한화,투수,62,4,72,0,0,3,10,0,1.000,0,0,0,-
장기영,71347,넥센,좌익수,62,60,513 1/3,2,0,87,5,1,0.979,0,0,0,-
유한준,74339,넥센,우익수,61,49,452 2/3,1,0,102,2,1,0.990,0,0,0,-
조영훈,75441,KIA,1루수,60,49,438 2/3,10,0,446,32,39,0.980,0,0,0,-
박용택,72133,LG,좌익수,60,39,371,0,0,80,2,0,1.000,0,0,0,-
최형우,72443,삼성,좌익수,59,59,460 1/3,3,0,114,6,2,0.976,0,0,0,-
우규민,73117,LG,투수,58,3,92 2/3,0,1,4,17,2,1.000,0,0,0,-
유원상,76757,LG,투수,58,0,74,1,1,3,21,0,0.960,0,0,0,-
김민성,77564,넥센,3루수,58,55,439 2/3,2,0,42,113,11,0.987,0,0,0,-
김성현,76802,SK,유격수,57,37,311 2/3,4,0,52,107,15,0.975,0,0,0,-
오재원,77248,두산,1루수,57,32,324 1/3,2,0,364,27,32,0.995,0,0,0,-
프록터,62230,두산,투수,57,0,55 2/3,0,0,1,9,0,1.000,0,0,0,-
이병규,97109,LG,우익수,57,50,441,1,0,90,3,1,0.989,0,0,0,-
안지만,72463,삼성,투수,56,0,63 1/3,0,3,2,10,0,1.000,0,0,0,-
진해수,76650,KIA,투수,56,0,41,1,0,2,10,0,0.923,0,0,0,-
최동수,94132,LG,1루수,56,47,381 1/3,5,0,399,26,36,0.988,0,0,0,-
강영식,70615,롯데,투수,55,0,41 2/3,0,0,3,14,1,1.000,0,0,0,-
마일영,70329,한화,투수,55,2,61 2/3,3,0,2,16,0,0.857,0,0,0,-
이성열,73136,넥센,우익수,55,43,378 2/3,1,0,103,11,3,0.991,0,0,0,-
정현욱,96462,삼성,투수,54,1,62 2/3,0,0,3,6,0,1.000,0,0,0,-
용덕한,74223,롯데,포수,54,22,222 2/3,4,1,182,22,3,0.981,1,34,14,29.2
최희섭,77623,KIA,1루수,54,52,424 2/3,4,0,446,35,36,0.992,0,0,0,-
