데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),연봉,WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대
2007,2014,3.42,28,13,9,0,0,0.591,173.66666666666666,178,10,81,3,145,77,66,1.49,1,0,15,0,749,3009,0.274,36,4,12,3,1,9,1,28,13,0,1,0,0,21,184,146,0.337,107.5,17.3,7.51,4.2,0.355,0.388,0.743,28,28,173.66666666666666,1,0,8,24,1,0.97,27000,5.2,0,1.0,6.128412657,0,1033.6666666666667,0.0,1988,7,22,27,0,0,0,0,1,0,0,0,0,0,0
2007,2015,3.72,30,14,6,0,1,0.7,176.66666666666666,173,19,66,3,160,86,73,1.35,1,1,16,0,754,2896,0.257,33,0,11,2,2,10,0,29,14,0,1,1,0,18,216,125,0.311,96.5,16.4,8.15,3.36,0.326,0.391,0.717,30,29,176.66666666666666,2,1,12,30,1,0.9549999999999998,85000,3.957,0,0.99592668,7.124339337,0,1210.3333333333337,0.0,1988,7,22,28,0,0,0,0,1,0,0,0,0,0,0
2007,2016,3.88,27,11,8,0,1,0.579,137.0,139,17,41,6,116,68,59,1.31,1,0,15,0,583,2180,0.263,21,2,6,1,2,3,0,21,10,1,2,0,0,13,159,116,0.307,80.7,15.9,7.62,2.69,0.322,0.406,0.728,27,21,137.0,2,0,5,34,1,0.951,85000,3.688,0,1.0,8.124339337,0,1347.3333333333337,0.0,1988,7,22,29,0,0,0,0,1,0,0,0,0,0,0
2007,2018,2.98,25,11,8,0,0,0.579,136.0,125,16,30,2,130,48,45,1.14,0,0,12,0,554,2146,0.242,16,2,5,1,0,3,0,25,11,0,0,0,0,11,149,113,0.294,85.8,15.8,8.6,1.99,0.286,0.374,0.66,25,25,136.0,2,0,6,16,1,0.917,212500,5.263,0,0.81569208,8.940031417,0,1483.3333333333337,0.0,1988,7,22,31,0,0,0,0,1,0,0,0,0,0,0
2007,2019,2.51,31,17,6,0,0,0.739,190.3333333333333,198,13,38,2,180,64,53,1.24,0,0,24,0,786,2908,0.27,17,0,6,6,1,8,0,30,17,0,1,0,0,22,205,157,0.338,93.8,15.3,8.51,1.8,0.305,0.346,0.651,31,30,190.3333333333333,2,0,5,38,4,0.956,212500,6.394,0,1.0,9.940031417,0,1673.6666666666667,0.0,1988,7,22,32,0,0,0,0,1,0,0,0,0,0,0
2017,2017,4.79,27,2,1,0,0,0.667,41.333333333333336,43,8,16,1,26,24,22,1.43,0,0,0,0,178,667,0.269,8,2,0,1,2,2,0,0,0,2,15,0,0,4,35,57,0.276,24.7,16.1,5.66,3.48,0.337,0.494,0.831,27,0,41.333333333333336,0,0,3,2,1,1.0,2700,0.647,0,0.0268138801,0.0268138801,0,41.333333333333336,0.0,1994,4,21,24,0,0,0,0,0,0,1,0,0,0,0
2017,2020,7.36,7,1,0,0,0,1.0,11.0,13,3,6,0,8,9,9,1.73,0,0,0,0,51,191,0.295,1,0,0,1,0,0,0,0,0,1,4,0,0,1,10,14,0.294,27.3,17.4,6.55,4.91,0.373,0.523,0.896,7,0,11.0,0,0,0,1,0,1.0,5100,-0.023,0,0.000727272727,0.0275411528,0,52.333333333333336,0.0,1994,4,21,27,0,0,0,0,0,0,1,0,0,0,0
1994,2003,7.71,3,0,0,0,1,0.0,2.333333333333333,6,1,2,0,4,2,2,3.43,0,0,0,0,14,56,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.714,18.7,24.0,15.43,7.71,0.571,0.75,1.321,3,0,2.333333333333333,0,0,0,0,0,0.0,4000,-0.054,0,0.0317460317,0.0317460317,0,2.333333333333333,0.0,1971,3,22,33,0,0,0,0,0,1,0,0,0,0,0
2003,2003,3.89,34,3,0,2,1,1.0,44.0,44,6,15,2,26,19,19,1.34,0,0,0,0,191,748,0.259,9,0,3,1,0,2,2,0,0,3,14,5,0,2,54,47,0.273,22.0,17.0,5.32,3.07,0.324,0.418,0.742,34,0,44.0,0,0,1,8,0,1.0,1700,0.753,0,0.0158730159,0.0158730159,0,44.0,0.0,1984,11,19,20,0,0,0,0,0,0,0,0,0,1,0
2003,2004,6.46,8,0,1,0,0,0.0,15.333333333333334,16,1,9,4,7,11,11,1.63,0,0,0,0,72,273,0.276,4,0,0,1,0,3,0,1,0,0,4,0,0,2,18,18,0.294,34.1,17.8,4.11,5.28,0.403,0.397,0.8,8,1,15.333333333333334,0,1,1,3,0,1.0,2800,0.038,0,0.0,0.0158730159,0,59.333333333333336,0.0,1984,11,19,21,0,0,0,0,0,0,0,0,0,1,0
2003,2005,6.1,10,0,2,0,0,0.0,20.666666666666668,26,3,12,2,14,17,14,1.84,0,0,0,0,102,393,0.302,5,0,2,0,0,1,0,4,0,0,5,0,0,1,19,27,0.333,39.3,19.0,6.1,5.23,0.4,0.465,0.865,10,4,20.666666666666668,0,0,1,5,0,1.0,2700,-0.052,0,0.0216606498,0.0375336657,0,80.0,0.0,1984,11,19,22,0,0,0,0,0,0,0,0,0,1,0
2003,2006,3.29,32,3,4,0,5,0.429,76.66666666666667,71,9,31,4,48,30,28,1.33,1,0,2,0,325,1294,0.254,9,3,7,3,1,1,0,7,2,1,8,3,0,5,67,97,0.274,40.4,16.9,5.63,3.64,0.333,0.404,0.737,32,7,76.66666666666667,1,0,2,13,0,0.9379999999999998,3000,1.285,0,0.0501730104,0.0877066761,0,156.66666666666669,0.0,1984,11,19,23,0,0,0,0,0,0,0,0,0,1,0
2003,2007,3.06,61,1,1,5,15,0.5,94.0,78,9,39,4,79,33,32,1.24,0,0,0,4,390,1551,0.231,12,1,6,4,3,2,0,1,0,1,13,19,0,5,76,108,0.273,25.4,16.5,7.56,3.73,0.315,0.353,0.668,61,1,94.0,1,1,4,10,0,0.933,5000,2.453,0,0.0404797601,0.128186436,0,250.66666666666669,0.0,1984,11,19,24,0,0,0,0,0,0,0,0,0,1,0
2003,2008,5.31,46,7,1,2,5,0.875,57.66666666666666,56,11,40,4,39,35,34,1.66,0,0,0,3,265,1047,0.259,6,0,3,2,4,0,2,2,0,7,12,14,0,1,51,72,0.268,22.8,18.2,6.09,6.24,0.382,0.44,0.822,46,2,58.0,1,2,4,8,0,0.9230000000000002,8000,-0.08,0,0.0652368186,0.193423255,0,308.33333333333337,0.0,1984,11,19,25,0,0,0,0,0,0,0,0,0,1,0
2003,2009,5.18,26,11,8,0,0,0.579,140.66666666666666,148,34,45,7,87,88,81,1.37,0,0,7,0,609,2381,0.27,24,1,5,3,1,3,0,26,11,0,0,0,0,10,149,168,0.265,91.6,16.9,5.57,2.88,0.331,0.503,0.834,26,26,140.66666666666666,3,2,8,23,1,0.912,8000,1.298,0,0.0839064649,0.27732972,0,449.0,0.0,1984,11,19,26,0,0,0,0,0,0,0,0,0,1,0
2003,2010,6.75,47,6,8,3,3,0.429,69.33333333333333,80,15,35,3,82,54,52,1.66,0,0,0,3,319,1327,0.292,14,0,5,2,1,3,0,3,1,5,14,10,0,2,53,61,0.363,28.2,19.1,10.64,4.54,0.376,0.507,0.883,47,3,69.33333333333333,0,1,4,13,1,1.0,8000,0.762,0,0.0542398778,0.331569597,0,518.3333333333334,0.0,1984,11,19,27,1,0,0,0,0,0,0,0,0,0,0
2003,2011,4.15,3,0,0,0,0,0.0,4.333333333333333,7,2,2,0,4,6,2,2.08,0,0,0,0,24,91,0.35,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,6,0.333,30.3,21.0,8.31,4.15,0.391,0.7,1.091,3,0,4.333333333333333,0,0,0,1,0,1.0,8000,-0.159,0,0.0321141838,0.363683781,0,522.6666666666667,0.0,1984,11,19,28,0,0,0,0,0,0,0,0,0,1,0
2003,2014,4.52,48,7,6,4,6,0.538,97.66666666666669,114,8,36,13,64,59,49,1.54,0,0,1,1,447,1773,0.298,20,3,9,6,1,3,0,6,0,7,10,10,1,7,104,107,0.334,36.9,18.2,5.9,3.32,0.372,0.428,0.8,48,6,97.66666666666669,1,2,5,20,1,0.962,11500,2.355,0,0.0834285714,0.447112353,0,620.3333333333335,0.0,1984,11,19,31,0,0,0,0,0,0,0,0,0,1,0
2003,2015,5.1,35,10,6,0,1,0.625,125.33333333333331,137,15,60,11,82,77,71,1.57,0,0,4,0,568,2226,0.285,23,1,10,6,1,4,0,27,10,0,1,1,0,11,148,120,0.313,63.6,17.8,5.89,4.31,0.373,0.43,0.803,35,27,125.33333333333331,1,0,8,27,1,0.972,28000,0.92,0,0.179904956,0.627017309,0,745.6666666666667,0.0,1984,11,19,32,0,0,0,0,0,0,0,0,0,1,0
2003,2016,20.25,2,0,1,0,0,0.0,2.6666666666666665,9,0,4,0,1,10,6,4.88,0,0,0,0,22,77,0.529,3,0,0,1,0,0,0,1,0,0,0,0,0,0,3,5,0.529,38.5,28.9,3.38,13.5,0.591,0.706,1.297,2,1,2.6666666666666665,1,0,0,0,0,0.0,28000,-0.499,0,0.0752961083,0.702313417,0,748.3333333333334,0.0,1984,11,19,33,0,0,0,0,0,0,0,0,0,1,0
2003,2017,5.75,25,1,8,0,0,0.111,87.66666666666667,123,11,28,5,54,62,56,1.72,0,0,4,1,410,1560,0.336,30,2,6,5,2,5,1,16,1,0,3,1,0,5,91,103,0.366,62.4,17.8,5.54,2.87,0.386,0.519,0.905,25,16,87.66666666666667,0,0,3,18,2,1.0,20000,0.495,0,0.0583596215,0.760673038,0,836.0,0.0,1984,11,19,34,0,0,0,0,0,0,0,0,0,1,0
2003,2018,5.73,53,8,2,0,8,0.8,66.0,83,12,15,4,48,44,42,1.48,0,0,0,1,291,1087,0.311,10,0,3,2,1,4,1,1,0,8,10,9,0,7,79,59,0.34,20.5,16.5,6.55,2.05,0.354,0.483,0.837,53,1,66.0,0,0,3,7,1,1.0,45000,0.498,1,0.0555144338,0.816187472,0,902.0,0.0,1984,11,19,35,0,0,0,0,0,0,0,0,0,1,0
2003,2019,3.92,67,4,7,0,13,0.364,62.0,82,5,13,3,48,27,27,1.53,0,0,0,3,273,1053,0.325,14,1,4,1,0,2,1,0,0,4,7,18,0,6,73,50,0.385,15.7,17.0,6.97,1.89,0.364,0.448,0.812,67,0,62.0,0,0,6,5,0,1.0,45000,1.205,0,0.0335386721,0.849726144,0,964.0,0.0,1984,11,19,36,0,0,0,0,0,0,0,0,0,1,0
2003,2020,5.91,39,1,1,0,1,0.5,45.66666666666666,51,9,18,2,34,32,30,1.51,0,0,0,1,201,753,0.293,8,1,4,3,1,0,0,0,0,1,11,2,0,5,29,63,0.313,19.3,16.5,6.7,3.55,0.36,0.506,0.866,39,0,45.66666666666666,0,1,1,7,0,1.0,35000,0.232,0,0.0574545455,0.90718069,0,1009.6666666666666,0.0,1984,11,19,37,0,0,0,0,0,0,0,0,0,1,0
2019,2019,7.71,13,0,0,0,0,0.0,16.333333333333332,23,2,7,2,6,16,14,1.84,0,0,0,0,80,283,0.329,2,1,0,1,0,1,1,0,0,0,6,0,0,3,20,22,0.333,21.8,17.3,3.31,3.86,0.4,0.471,0.871,13,0,16.333333333333332,1,0,0,1,0,0.5,2700,-0.233,0,0.0266940452,0.0266940452,0,16.333333333333332,0.0,2000,5,25,20,1,0,0,0,0,0,0,0,0,0,0
2019,2019,12.12,11,1,1,0,0,0.5,16.333333333333332,23,3,15,0,11,22,22,2.33,0,0,0,0,85,345,0.329,10,1,0,0,0,2,0,1,0,1,4,0,0,1,21,15,0.357,31.4,21.1,6.06,8.27,0.447,0.629,1.076,11,1,16.333333333333332,0,0,1,3,0,1.0,2700,-0.67,0,0.0184804928,0.0184804928,0,16.333333333333332,0.0,1992,7,15,28,1,0,0,0,0,0,0,0,0,0,0
2019,2020,7.85,15,0,0,0,0,0.0,28.666666666666668,41,4,24,3,13,26,25,2.27,0,0,0,0,144,559,0.36,9,0,1,2,0,3,0,1,0,0,2,0,0,10,33,29,0.374,37.3,19.5,4.08,7.53,0.476,0.544,1.02,15,1,28.666666666666668,1,0,2,1,1,0.75,3000,-0.174,0,0.00363636364,0.0221168564,0,45.0,0.0,1992,7,15,29,1,0,0,0,0,0,0,0,0,0,0
2011,2014,27.0,1,0,0,0,0,0.0,4.0,11,3,6,0,4,12,12,4.25,0,0,0,0,27,93,0.524,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0.571,93.0,23.3,9.0,13.5,0.63,0.952,1.582,1,0,4.0,0,0,1,1,0,1.0,2500,-0.182,0,0.0182857143,0.0182857143,0,4.0,0.0,1992,7,14,23,0,0,0,0,0,0,0,0,1,0,0
2011,2017,5.62,28,1,4,1,0,0.2,49.66666666666666,67,8,17,0,46,31,31,1.69,0,0,0,0,229,851,0.321,13,2,2,1,0,5,0,2,0,1,8,1,0,3,43,54,0.378,30.4,17.1,8.34,3.08,0.37,0.517,0.887,28,2,49.66666666666666,0,0,2,3,0,1.0,2900,0.477,0,0.0623028391,0.0805885534,0,53.66666666666666,0.0,1992,7,14,26,0,0,0,0,0,0,0,0,1,0,0
2011,2018,4.85,22,1,0,2,0,1.0,29.666666666666668,31,2,8,1,32,18,16,1.31,0,0,0,0,127,458,0.272,7,0,4,0,1,1,0,0,0,1,11,2,0,2,24,27,0.363,20.8,15.4,9.71,2.43,0.325,0.386,0.711,22,0,29.666666666666668,1,0,2,4,0,0.857,4500,0.351,0,0.0118430792,0.0924316326,0,83.33333333333333,0.0,1992,7,14,27,0,0,0,0,0,0,0,0,1,0,0
2011,2019,2.87,54,3,3,1,3,0.5,62.66666666666666,60,5,14,1,56,23,20,1.18,0,0,0,1,254,970,0.258,12,2,3,3,1,3,0,0,0,3,14,10,0,4,45,75,0.314,18.0,15.5,8.04,2.01,0.299,0.391,0.69,54,0,62.66666666666666,1,0,3,6,0,0.9,4500,1.286,0,0.0150581793,0.107489812,0,146.0,0.0,1992,7,14,28,0,0,0,0,0,0,0,0,1,0,0
2011,2011,3.12,29,2,0,0,2,1.0,17.333333333333332,20,1,12,0,9,8,6,1.85,0,0,0,0,80,318,0.303,1,1,2,0,1,3,1,0,0,2,2,2,0,3,23,14,0.339,11.0,18.3,4.67,6.23,0.41,0.394,0.804,29,0,17.333333333333332,0,0,3,2,1,1.0,2400,0.201,0,0.0294380018,0.0294380018,0,17.333333333333332,0.0,1988,12,21,24,0,0,0,0,0,0,0,1,0,0,0
2011,2015,11.37,7,0,0,0,0,0.0,6.333333333333333,11,3,2,0,6,10,8,2.05,0,0,0,0,33,129,0.355,3,1,0,0,0,1,0,0,0,0,3,0,0,0,7,7,0.364,18.4,20.4,8.53,2.84,0.394,0.806,1.2,7,0,6.333333333333333,0,0,1,2,0,1.0,3300,-0.249,0,0.0027155465,0.0329154531,0,23.666666666666664,0.0,1988,12,21,28,0,0,0,0,0,0,0,1,0,0,0
2011,2016,36.0,2,0,0,0,0,0.0,1.0,4,1,0,1,0,4,4,4.0,0,0,0,0,8,31,0.571,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0.5,15.5,31.0,0.0,0.0,0.625,1.0,1.625,2,0,1.0,0,0,1,0,0,1.0,3300,-0.129,0,0.0101522843,0.0430677374,0,24.666666666666664,0.0,1988,12,21,29,0,0,0,0,0,0,0,1,0,0,0
2011,2017,5.06,11,0,0,0,0,0.0,10.666666666666666,11,0,4,2,4,7,6,1.41,0,0,0,0,48,193,0.275,3,0,1,1,0,0,0,0,0,0,3,0,0,1,12,14,0.297,17.5,18.1,3.38,3.38,0.362,0.35,0.712,10,0,10.666666666666666,0,0,3,2,1,1.0,3200,0.114,0,0.0047318612,0.0477995986,0,35.33333333333333,0.0,1988,12,21,30,0,0,0,0,0,0,0,1,0,0,0
2011,2018,3.9,40,0,1,0,3,0.0,27.666666666666668,20,3,11,5,26,12,12,1.12,0,0,0,0,116,463,0.204,4,1,1,1,1,0,0,0,0,0,11,3,0,2,19,34,0.243,11.6,16.7,8.46,3.58,0.313,0.357,0.67,40,0,27.666666666666668,0,0,2,5,0,1.0,3500,0.641,0,0.0170244264,0.064824025,0,63.0,0.0,1988,12,21,31,0,0,0,0,0,0,0,1,0,0,0
2011,2019,3.4,71,1,0,0,8,1.0,42.333333333333336,34,2,12,3,35,19,16,1.09,0,0,0,2,177,697,0.214,9,1,0,3,0,0,0,0,0,1,11,7,0,1,25,68,0.256,9.8,16.5,7.44,2.55,0.277,0.321,0.598,71,0,42.333333333333336,0,0,2,3,0,1.0,3500,0.715,0,0.0143737166,0.0791977416,0,105.33333333333334,0.0,1988,12,21,32,0,0,0,0,0,0,0,1,0,0,0
2011,2020,1.78,51,1,1,0,5,0.5,25.33333333333333,24,2,7,6,18,7,5,1.22,0,0,0,0,109,419,0.261,3,0,1,3,1,1,0,0,0,1,5,8,0,1,16,37,0.293,8.2,16.5,6.39,2.49,0.343,0.359,0.702,51,0,25.33333333333333,1,0,6,2,1,0.8889999999999999,11000,1.12,0,0.00581818182,0.0850159234,0,130.66666666666669,0.0,1988,12,21,33,0,0,0,0,0,0,0,1,0,0,0
2017,2018,5.6,32,1,3,0,4,0.25,45.0,44,8,22,5,38,28,28,1.47,0,0,0,0,203,825,0.253,9,0,0,2,1,8,0,4,0,1,4,5,0,1,44,50,0.277,25.8,18.3,7.6,4.4,0.35,0.443,0.793,32,4,45.0,0,1,4,3,0,1.0,2700,0.547,0,0.156920799,0.156920799,0,45.0,0.0,1999,2,8,20,0,0,0,0,0,0,0,0,1,0,0
2017,2019,4.48,23,8,5,0,0,0.615,122.66666666666669,134,10,51,1,82,70,61,1.51,1,1,14,0,533,1979,0.284,27,3,3,6,0,5,3,23,8,0,1,0,0,10,134,128,0.321,86.0,16.1,6.02,3.74,0.351,0.417,0.768,23,23,122.66666666666669,3,3,4,16,0,0.87,2700,0.774,0,0.318959617,0.475880416,0,167.66666666666669,0.0,1999,2,8,21,0,0,0,0,0,0,0,0,1,0,0
2017,2020,5.08,24,6,6,0,0,0.5,118.66666666666669,132,15,40,5,73,71,67,1.45,0,0,8,0,517,1941,0.284,20,1,4,4,0,3,1,23,5,1,0,0,0,11,137,126,0.308,80.9,16.4,5.54,3.03,0.345,0.429,0.774,24,23,118.66666666666669,1,1,8,15,0,0.958,2700,0.934,0,0.146181818,0.622062234,0,286.33333333333337,0.0,1999,2,8,22,0,0,0,0,0,0,0,0,1,0,0
1994,2004,3.38,85,0,3,1,17,0.0,50.66666666666666,49,2,22,2,53,22,19,1.4,0,0,0,0,224,910,0.257,12,0,8,1,3,4,0,0,0,0,8,24,0,1,39,51,0.343,10.7,18.0,9.41,3.91,0.338,0.351,0.689,85,0,50.66666666666666,0,0,0,7,0,1.0,7200,1.392,0,0.00606060606,0.0224540487,0,134.33333333333331,0.0,1971,10,23,34,0,0,1,0,0,0,0,0,0,0,0
1994,2005,3.63,69,0,5,0,13,0.0,52.0,51,3,16,5,41,25,21,1.29,0,0,0,0,221,886,0.263,9,0,4,2,0,0,0,3,0,0,7,16,0,5,50,54,0.316,12.8,17.0,7.1,2.77,0.332,0.356,0.688,69,3,53.333333333333336,2,0,4,11,2,0.8819999999999999,7500,1.048,0,0.0180505415,0.0405045902,0,186.3333333333333,0.0,1971,10,23,35,0,0,1,0,0,0,0,0,0,0,0
1994,2006,5.19,16,0,1,1,4,0.0,8.666666666666666,11,0,4,0,8,5,5,1.73,0,0,0,0,41,177,0.314,3,0,1,1,0,2,0,0,0,0,2,7,0,0,7,10,0.393,11.1,20.4,8.31,4.15,0.375,0.4,0.775,16,0,8.666666666666666,0,0,1,0,0,1.0,8500,0.173,0,0.00346020761,0.0439647978,0,195.0,0.0,1971,10,23,36,0,0,1,0,0,0,0,0,0,0,0
1994,2007,2.7,81,0,3,0,23,0.0,40.0,37,1,22,0,36,13,12,1.48,0,0,0,0,176,726,0.248,6,1,3,1,0,3,0,0,0,0,7,30,0,5,38,39,0.319,9.0,18.2,8.1,4.95,0.343,0.322,0.665,80,0,40.333333333333336,1,0,0,8,1,0.8890000000000001,6500,1.147,0,0.083958021,0.127922819,0,235.0,0.0,1971,10,23,37,0,0,1,0,0,0,0,0,0,0,0
1994,2008,11.05,38,0,1,0,2,0.0,14.666666666666666,27,1,9,1,10,18,18,2.45,0,0,0,0,81,290,0.415,3,3,4,2,0,0,0,0,0,0,1,2,0,0,20,10,0.464,7.6,19.8,6.14,5.52,0.481,0.6,1.081,37,0,15.333333333333334,0,0,1,4,0,1.0,21333,-0.285,1,0.0107238606,0.138646679,0,249.66666666666663,0.0,1971,10,23,38,0,0,1,0,0,0,0,0,0,0,0
1994,2009,2.96,73,4,1,1,12,0.8,48.66666666666666,38,2,14,3,33,16,16,1.07,0,0,0,0,187,701,0.232,6,1,5,1,0,0,0,0,0,4,14,15,0,6,48,46,0.277,9.6,14.4,6.1,2.59,0.302,0.317,0.619,73,0,49.66666666666666,0,0,1,13,0,1.0,21333,1.599,0,0.0398899587,0.178536638,0,298.33333333333326,0.0,1971,10,23,39,0,0,1,0,0,0,0,0,0,0,0
1994,2010,7.71,16,0,0,0,0,0.0,4.666666666666667,10,0,4,1,3,6,4,3.0,0,0,0,0,28,120,0.435,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,5,0.5,7.5,25.7,5.79,7.71,0.536,0.435,0.971,14,0,4.0,0,0,1,1,0,1.0,21333,-0.061,0,0.0236822002,0.202218838,0,302.99999999999994,0.0,1971,10,23,40,0,0,1,0,0,0,0,0,0,0,0
1994,2012,3.33,30,3,1,0,3,0.75,24.33333333333333,20,2,8,1,15,9,9,1.15,0,0,0,1,98,367,0.233,3,0,1,2,0,0,0,0,0,3,9,7,0,2,20,33,0.254,12.2,15.1,5.55,2.96,0.299,0.337,0.636,30,0,24.33333333333333,0,0,2,2,0,1.0,4500,0.46,0,0.0398288348,0.242047673,0,327.33333333333326,0.0,1971,10,23,42,0,0,1,0,0,0,0,0,0,0,0
