데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),연봉,WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대
1990,2007,1.98,23,2,1,1,1,0.667,27.33333333333333,24,4,8,1,17,8,6,1.17,0,0,0,0,111,405,0.242,3,0,2,1,1,0,1,0,0,2,14,3,1,3,26,33,0.253,17.6,14.8,5.6,2.63,0.303,0.394,0.697,23,0,27.33333333333333,1,0,0,5,0,0.833,25000,0.558,1,0.0209895052,0.171898996,0,267.3333333333333,0.0,1971,12,1,37,0,0,0,0,0,0,0,0,0,1,0
1996,2013,3.78,54,2,5,2,16,0.286,47.66666666666666,55,4,25,1,31,23,20,1.68,0,0,0,3,220,856,0.291,9,0,4,1,3,3,0,0,0,2,9,22,1,2,55,49,0.329,15.9,18.0,5.85,4.72,0.375,0.402,0.777,54,0,47.66666666666666,1,0,1,3,0,0.8,71500,0.774,1,0.0495156082,0.517650658,0,681.6666666666665,0.0,1978,12,2,36,0,0,1,0,0,0,0,0,0,0,0
1998,2012,5.4,32,0,2,0,3,0.0,31.666666666666668,36,4,13,4,16,20,19,1.55,0,0,0,0,141,517,0.293,6,1,1,0,1,0,0,0,0,0,5,6,0,7,42,29,0.311,16.2,16.3,4.55,3.69,0.379,0.455,0.834,32,0,31.666666666666668,0,0,1,9,1,1.0,36667,-0.019,1,0.0102040816,0.321713511,0,564.3333333333333,0.0,1975,12,28,38,0,0,0,0,1,0,0,0,0,0,0
1990,2004,3.08,55,6,6,9,10,0.5,79.0,79,5,26,4,85,34,27,1.33,0,0,0,0,344,1339,0.259,14,1,7,2,5,1,1,0,0,6,26,25,1,2,72,71,0.341,24.3,16.9,9.68,2.96,0.323,0.361,0.684,55,0,79.0,2,1,8,20,2,0.933,58333,2.811,1,0.103030303,0.485023537,0,239.3333333333333,0.0,1971,3,17,34,0,0,0,0,1,0,0,0,0,0,0
1990,2008,2.68,52,1,2,4,13,0.333,47.0,44,5,15,1,33,19,14,1.26,0,0,0,1,193,780,0.251,3,0,1,1,1,0,0,0,0,1,10,23,0,5,57,42,0.283,15.0,16.6,6.32,2.87,0.313,0.354,0.667,52,0,47.0,0,2,3,10,1,1.0,40000,0.969,1,0.0455764075,0.771539441,0,484.6666666666667,0.0,1971,3,17,38,0,0,0,0,1,0,0,0,0,0,0
1992,2005,5.65,40,3,2,3,2,0.6,43.0,54,8,19,3,24,28,27,1.7,0,0,0,0,196,739,0.312,7,2,1,0,0,2,0,0,0,3,13,7,0,2,44,51,0.326,18.5,17.2,5.02,3.98,0.39,0.514,0.904,40,0,43.0,1,0,3,2,0,0.8329999999999999,15000,0.046,1,0.0108303249,0.0799808465,0,162.33333333333334,0.0,1968,7,8,38,0,0,0,0,0,0,0,0,0,1,0
1994,2003,5.5,33,2,3,6,1,0.4,54.0,54,15,29,2,47,35,33,1.54,0,0,0,0,238,911,0.262,9,0,1,0,0,0,0,3,1,1,16,9,0,7,52,53,0.271,27.6,16.9,7.83,4.83,0.359,0.524,0.883,33,3,54.0,0,0,1,6,0,1.0,13333,-0.162,1,0.0317460317,0.130106687,0,109.0,0.0,1971,6,22,33,0,0,0,0,0,0,1,0,0,0,0
1992,2004,4.91,65,3,3,0,12,0.5,40.333333333333336,40,2,21,2,25,23,22,1.51,0,0,0,0,175,666,0.284,5,1,6,5,4,2,0,0,0,3,3,10,0,6,41,40,0.319,10.2,16.5,5.58,4.69,0.373,0.376,0.749,65,0,40.66666666666666,0,0,1,8,2,1.0,18667,0.63,1,0.0121212121,0.107359307,0,101.66666666666666,0.0,1969,10,1,36,0,0,0,0,0,0,1,0,0,0,0
2000,2016,5.96,66,5,5,2,6,0.5,113.33333333333331,138,14,58,4,76,86,75,1.73,0,0,0,0,529,2029,0.307,23,1,12,6,2,6,0,10,1,4,10,6,0,13,122,119,0.34,30.7,17.9,6.04,4.61,0.387,0.457,0.844,66,10,113.33333333333331,4,0,3,16,2,0.826,32500,0.372,1,0.0972927242,0.967235891,0,855.3333333333333,0.0,1981,2,9,36,0,0,0,0,0,0,0,0,0,1,0
1996,2012,3.72,73,1,3,0,15,0.25,55.66666666666666,47,5,16,2,29,24,23,1.13,0,0,0,0,227,813,0.234,7,1,6,2,4,0,0,0,0,1,12,16,0,4,64,63,0.249,11.1,14.6,4.69,2.59,0.294,0.353,0.647,73,0,55.66666666666666,1,0,1,10,0,0.917,30000,0.929,1,0.0069124424,0.342027755,0,369.0,0.0,1977,4,20,36,0,0,1,0,0,0,0,0,0,0,0
2002,2015,4.65,26,1,0,0,1,1.0,31.0,36,4,13,3,26,18,16,1.58,0,0,0,0,145,523,0.283,12,1,1,1,0,1,0,0,0,1,10,1,0,0,28,38,0.327,20.1,16.9,7.55,3.77,0.361,0.488,0.849,26,0,31.0,0,0,2,4,1,1.0,22500,0.4,1,0.0278343517,0.555812214,0,681.9999999999999,0.0,1979,6,13,37,0,0,0,0,1,0,0,0,0,0,0
2002,2017,3.98,57,3,2,5,9,0.6,52.0,62,4,16,4,38,23,23,1.5,0,0,0,7,235,833,0.302,9,2,7,3,3,0,0,0,0,3,14,22,0,1,53,55,0.349,14.6,16.0,6.58,2.77,0.36,0.424,0.784,57,0,52.0,0,0,4,7,0,1.0,90000,1.453,1,0.072555205,0.985475736,0,716.6666666666666,0.0,1983,10,11,35,0,0,0,0,0,1,0,0,0,0,0
2002,2014,4.11,24,11,5,0,0,0.688,129.33333333333334,149,16,37,5,63,70,59,1.44,0,0,11,0,562,2120,0.295,33,2,6,9,0,6,0,24,11,0,0,0,0,15,140,162,0.306,88.3,16.4,4.38,2.57,0.344,0.463,0.807,24,24,129.33333333333334,2,0,5,16,1,0.913,150000,2.66,1,0.224,2.550295361,0,1316.6666666666667,0.0,1983,6,9,32,0,0,0,0,0,0,0,1,0,0,0
2004,2020,5.4,25,3,1,0,2,0.75,18.33333333333333,22,6,0,0,13,12,11,1.2,0,0,0,1,78,277,0.297,2,0,3,1,0,0,1,0,0,3,6,4,0,1,23,17,0.286,11.1,15.1,6.38,0.0,0.293,0.568,0.861,25,0,18.33333333333333,0,0,1,5,0,1.0,35000,0.036,1,0.04,0.158247788,0,770.6666666666666,0.0,1985,3,31,36,0,0,0,0,0,0,0,0,1,0,0
2006,2017,3.43,28,10,7,0,0,0.588,175.66666666666666,171,20,38,7,157,75,67,1.19,0,0,16,0,732,2879,0.252,33,4,4,5,0,10,0,28,10,0,0,0,0,11,154,201,0.298,102.8,16.4,8.04,1.95,0.297,0.401,0.698,28,28,175.66666666666666,2,1,5,17,0,0.917,237500,4.228,1,0.80126183,3.034261123,0,1243.9999999999998,0.0,1987,5,31,31,0,0,1,0,0,0,0,0,0,0,0
2000,2013,6.57,13,0,1,0,0,0.0,12.333333333333334,17,1,6,2,6,9,9,1.86,0,0,0,0,60,219,0.333,0,0,1,0,0,0,0,1,0,0,3,0,0,1,15,13,0.364,16.8,17.8,4.38,4.38,0.424,0.392,0.816,13,1,12.333333333333334,1,0,3,3,1,0.857,26667,0.008,1,0.00807319699,0.469754113,0,750.9999999999999,0.0,1981,5,28,33,0,0,0,0,0,0,0,0,0,1,0
2004,2015,3.76,30,17,8,0,0,0.68,194.0,199,27,30,10,164,86,81,1.18,3,1,17,0,809,3042,0.264,34,4,8,6,0,1,0,30,17,0,3,0,0,11,156,241,0.302,101.4,15.7,7.61,1.39,0.299,0.427,0.726,30,30,194.0,1,0,6,16,1,0.957,200000,3.909,1,0.455532926,2.036955821,0,1279.3333333333333,0.0,1981,10,8,35,0,0,0,0,0,0,0,1,0,0,0
2004,2019,4.77,27,8,13,0,0,0.381,145.33333333333334,168,14,50,7,65,87,77,1.5,1,1,10,0,643,2340,0.296,34,3,9,9,0,3,0,27,8,0,1,0,0,15,133,211,0.309,86.7,16.1,4.03,3.1,0.355,0.44,0.795,27,27,145.33333333333334,0,0,5,9,0,1.0,40000,0.821,1,0.0773442847,2.738300991,0,1896.333333333333,0.0,1981,10,8,39,0,0,0,0,0,0,0,1,0,0,0
1990,2004,5.03,19,3,9,0,0,0.25,87.66666666666667,112,16,16,7,51,58,49,1.46,0,0,6,0,391,1385,0.314,18,0,11,0,0,2,0,18,3,0,1,0,0,6,88,106,0.331,72.9,15.8,5.24,1.64,0.355,0.499,0.854,19,18,87.66666666666667,0,0,6,9,0,1.0,55000,0.575,1,0.103030303,0.500376127,0,335.0,0.0,1971,4,25,34,0,0,0,0,0,0,1,0,0,0,0
2002,2015,4.98,78,9,13,17,6,0.409,112.0,124,15,53,5,88,68,62,1.58,0,0,0,8,506,2098,0.281,21,1,2,4,7,5,1,0,0,9,43,31,2,4,95,139,0.318,26.9,18.7,7.07,4.26,0.361,0.434,0.795,78,0,112.0,1,1,2,18,1,0.952,80000,0.875,1,0.248472505,1.519083688,0,692.0,0.0,1983,11,6,33,0,0,0,0,0,0,0,0,0,1,0
2002,2015,3.33,66,4,3,0,37,0.571,78.33333333333333,76,8,26,2,96,29,29,1.3,0,0,0,4,323,1278,0.266,18,2,5,4,2,2,0,0,0,4,8,40,0,6,53,65,0.366,19.4,16.3,11.03,2.99,0.327,0.427,0.754,66,0,78.33333333333333,0,3,4,15,4,1.0,162500,2.378,1,0.355057705,1.722310685,0,806.6666666666667,0.0,1983,10,1,33,0,0,0,0,0,0,0,1,0,0,0
2004,2015,4.08,30,12,12,0,0,0.5,169.66666666666666,182,13,68,14,128,86,77,1.47,1,0,17,0,748,2942,0.281,35,2,13,5,1,2,0,30,12,0,1,0,0,18,189,154,0.33,98.1,17.3,6.79,3.61,0.359,0.401,0.76,30,30,169.66666666666666,0,0,6,31,2,1.0,210000,2.889,1,0.978275628,2.480756678,0,1495.6666666666667,0.0,1985,7,31,31,0,0,0,0,0,1,0,0,0,0,0
2000,2011,5.42,25,6,8,0,1,0.429,103.0,127,5,27,6,47,67,62,1.5,0,0,6,0,460,1589,0.311,23,5,12,7,1,5,1,17,6,0,3,1,0,11,117,124,0.336,63.6,15.4,4.11,2.36,0.357,0.429,0.786,25,17,103.0,0,0,8,13,0,1.0,85000,1.277,1,0.14897413,3.366997077,0,1178.0,0.0,1981,5,4,31,0,0,0,0,0,0,0,1,0,0,0
2000,2015,7.04,32,4,11,0,1,0.267,101.0,124,21,39,14,56,93,79,1.61,0,0,3,1,469,1799,0.305,19,1,3,5,0,6,0,21,4,0,0,2,0,7,118,114,0.307,56.2,17.8,4.99,3.48,0.381,0.511,0.892,32,21,101.0,2,1,6,14,0,0.909,71667,-1.554,1,0.251866938,4.288871475,0,1723.6666666666667,0.0,1981,5,4,35,0,0,0,0,0,0,0,0,0,1,0
2005,2020,4.32,76,4,2,0,22,0.667,50.0,54,3,23,4,59,27,24,1.54,0,0,0,5,230,961,0.271,6,0,2,2,2,5,0,0,0,4,0,33,0,3,51,37,0.367,12.6,19.2,10.62,4.14,0.355,0.347,0.702,76,0,50.0,0,0,3,7,0,1.0,46667,0.504,1,0.0334545455,0.513560475,0,469.33333333333326,0.0,1986,6,26,35,0,0,1,0,0,0,0,0,0,0,0
2000,2014,4.79,52,2,5,0,14,0.286,47.0,46,4,24,2,42,25,25,1.49,0,0,0,4,203,813,0.266,8,1,3,1,0,4,0,0,0,2,2,17,0,5,43,43,0.328,15.6,17.3,8.04,4.6,0.36,0.393,0.753,52,0,47.0,0,1,1,13,0,1.0,42500,1.327,1,0.027047619,0.505596476,0,575.3333333333333,0.0,1981,6,17,34,0,0,0,0,0,0,1,0,0,0,0
1999,2012,4.94,24,1,3,0,2,0.25,23.666666666666668,37,3,8,4,17,16,13,1.9,0,0,0,2,117,448,0.374,5,1,4,2,1,2,0,0,0,1,4,4,0,1,24,23,0.42,18.7,18.9,6.46,3.04,0.434,0.535,0.969,24,0,23.666666666666668,0,0,0,7,2,1.0,43333,0.039,1,0.0286372614,0.419326318,0,823.0,0.0,1977,3,1,36,0,0,0,0,0,0,0,0,0,1,0
1995,2004,5.23,34,0,4,15,0,0.0,32.666666666666664,49,3,12,1,23,22,19,1.87,0,0,0,0,156,546,0.35,5,0,2,1,3,4,0,1,0,0,27,18,0,6,39,30,0.4,16.1,16.7,6.34,3.31,0.403,0.45,0.853,34,1,32.666666666666664,1,0,2,3,1,0.833,75000,0.426,1,0.0787878788,1.352011923,0,159.33333333333331,0.0,1972,10,13,33,0,0,1,0,0,0,0,0,0,0,0
1998,2016,4.1,61,6,1,0,12,0.857,63.66666666666666,61,10,34,4,52,33,29,1.49,0,0,0,0,282,1114,0.26,16,2,2,7,0,1,0,0,0,6,11,10,0,4,37,92,0.283,18.3,17.5,7.35,4.81,0.354,0.472,0.826,61,0,63.66666666666666,0,1,1,5,0,1.0,31000,1.158,1,0.0152284264,0.263728862,0,627.6666666666666,0.0,1979,3,13,38,0,0,0,0,0,0,0,0,1,0,0
