데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),연봉,WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수
1990,2005,0.219,96,318,274,24,60,4,2,10,98,30,18,1,20,0,5,56,2,0.358,0.283,0.641,10,0.194,0.0,16,75,84,0,3.69,0.139,30.5,0.217,96,3,2,1,66.7,0,0,95,92,764.6666666666666,8,0,558,48,7,3,61,25,0.987,29.1,30000,0.832,1,0.0792951542,0.257182851,0,1439,0.0,1968,10,27,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1994,2004,0.264,127,392,341,40,90,14,2,5,123,36,10,1,36,0,4,69,7,0.361,0.34,0.701,21,0.305,0.227,21,111,72,0,4.0,0.097,42.8,0.243,127,7,5,2,71.4,0,0,136,91,798.0,3,0,170,8,3,0,0,0,0.9837293233082708,0.0,17333,0.939,1,0.0291970803,0.113307105,0,711,0.0,1972,1,29,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1996,2006,0.306,126,540,445,62,136,24,2,13,203,79,3,6,83,10,3,38,5,0.456,0.413,0.869,37,0.328,0.0,39,129,148,0,3.96,0.151,87.4,0.3,126,9,6,3,66.7,0,0,123,122,1071.3333333333333,8,0,1098,72,113,0,0,0,0.993,0.0,105000,4.952,1,0.11898017,0.895166055,0,2791,0.0,1977,10,18,30,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1996,2010,0.245,74,279,237,34,58,8,0,4,78,29,3,2,35,1,2,35,9,0.329,0.344,0.673,13,0.311,0.0,12,76,70,0,4.26,0.084,27.5,0.237,74,2,0,2,0.0,0,0,71,69,567.6666666666666,5,0,584,42,56,0,0,0,0.992,0.0,25000,0.06,1,0.12324493,1.64167742,0,4198,0.0,1977,10,18,34,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1996,2007,0.24,93,342,288,47,69,13,0,6,100,28,6,2,40,0,6,39,13,0.347,0.342,0.689,20,0.241,0.0,19,94,88,0,4.0,0.108,36.2,0.241,93,16,13,3,81.3,0,0,96,81,698.0,10,0,156,283,57,0,0,0,0.9773156638013372,0.0,27500,2.085,1,0.0385259631,0.388650148,0,2836,0.8995752196273125,1973,9,14,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1994,2008,0.2,8,26,25,1,5,2,0,0,7,2,0,0,1,0,0,8,1,0.28,0.231,0.511,1,0.222,0.0,2,7,5,0,4.5,0.08,1.0,0.174,8,0,0,0,0.0,0,0,5,4,27.0,0,0,37,1,4,0,0,0,1.0,0.0,85000,-0.139,1,0.0244590781,0.739580883,0,2459,0.0,1976,2,8,33,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1994,2013,0.278,126,508,442,46,123,25,1,20,210,87,0,5,60,3,1,109,8,0.475,0.362,0.837,35,0.358,0.0,46,114,101,0,4.13,0.197,75.5,0.282,126,5,2,3,40.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,66667,2.404,1,0.148691768,1.23783237,0,4447,0.0,1976,2,8,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,2014,0.288,104,418,358,62,103,12,4,0,123,20,2,1,52,0,5,46,5,0.344,0.385,0.729,27,0.208,0.286,16,127,83,3,4.4,0.056,49.6,0.259,104,23,12,11,52.2,4,2,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,167500,0.089,1,0.124904604,2.443462948,0,4775,0.0,1985,8,26,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1998,2012,0.181,76,171,149,10,27,0,0,0,27,9,5,2,13,0,2,25,4,0.181,0.253,0.434,3,0.159,0.333,0,52,47,0,3.77,0.0,7.1,0.159,76,1,1,0,100.0,0,0,70,47,403.6666666666667,3,0,334,28,0,0,54,18,0.992,25.000000000000004,35000,-0.348,1,0.0133079848,0.389620883,0,2520,0.0,1975,11,28,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1998,2011,0.302,115,450,414,57,125,21,1,15,193,64,1,4,26,4,5,71,8,0.466,0.347,0.813,34,0.302,0.25,37,116,106,0,3.59,0.164,65.3,0.273,115,16,13,3,81.3,0,0,16,13,101.33333333333331,1,0,14,0,0,0,0,0,0.933,0.0,85000,2.351,1,0.101534829,1.756506826,0,4753,0.0,1979,4,21,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1998,2015,0.326,128,533,487,66,159,28,2,18,245,83,1,7,34,1,4,73,12,0.503,0.37,0.873,50,0.357,0.0,48,127,135,10,3.77,0.177,85.3,0.292,128,15,11,4,73.3,2,1,105,100,809.6666666666667,2,0,134,3,0,0,0,0,0.985920955125566,0.0,125000,2.235,1,0.0564617315,2.196249583,0,6930,0.0,1979,4,21,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1998,2019,0.282,64,215,195,19,55,9,0,1,67,22,0,2,18,1,0,30,3,0.344,0.34,0.684,15,0.22,0.273,10,48,64,0,3.62,0.062,23.5,0.239,64,4,3,1,75.0,0,0,4,3,25.666666666666668,0,0,4,0,0,0,0,0,0.961038961038961,0.0,120000,0.42,1,0.235504014,3.098768703,0,8902,0.0,1979,4,21,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2006,2019,0.354,118,459,390,61,138,26,0,20,224,68,0,6,48,4,15,43,13,0.574,0.438,1.012,43,0.364,0.167,46,86,129,4,3.74,0.221,88.7,0.341,118,7,4,3,57.1,2,1,91,87,723.3333333333334,2,1,590,45,10,2,37,15,0.997,28.8,312500,6.835,1,0.655664585,3.318851977,1,4263,0.0,1987,6,5,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
