ID,선수명,데뷔년도,팀명,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,1차FA여부,2차FA여부
98259,이혜천,1998,두산,2003,3.93,83,5,3,0,11,0.625,55.0,46,4,37,5,36,27,24,1.51,0,0,0,0,250,952,0.225,6,2,4,0,2,7,0,0,0,5,4,17,0,6,84,38,0.256,11.5,17.3,5.89,6.05,0.358,0.333,0.691,83,0,55.0,0,0,6,13,1,1.0,0.681,0.0,0.142857143,0.208430913,0,134.0,0.0,1979,3,12,25,12428.184068848983,0.0,0.0
98259,이혜천,1998,두산,2004,5.88,79,2,2,1,12,0.5,52.0,52,5,31,3,35,35,34,1.6,0,0,0,0,235,923,0.264,8,0,4,0,0,4,0,2,0,2,5,23,0,4,67,43,0.299,11.7,17.8,6.06,5.37,0.372,0.381,0.753,79,2,53.333333333333336,1,0,3,9,0,0.923,0.196,0.0,0.0363636364,0.24479455,0,186.0,0.0,1979,3,12,26,12766.942022334404,0.0,0.0
98259,이혜천,1998,두산,2005,3.95,30,7,4,0,3,0.636,109.33333333333331,105,10,54,7,59,58,48,1.45,1,1,8,0,479,1768,0.263,8,0,12,6,1,4,1,21,7,0,1,4,0,18,143,99,0.282,58.9,16.2,4.86,4.45,0.355,0.358,0.713,30,21,108.66666666666669,1,0,2,20,0,0.957,1.349,0.0,0.126353791,0.371148341,0,295.3333333333333,0.0,1979,3,12,27,15773.172738834442,0.0,0.0
98259,이혜천,1998,두산,2011,6.35,32,1,4,1,4,0.2,34.0,31,2,17,4,30,27,24,1.41,0,0,0,0,152,600,0.254,4,0,6,3,1,4,0,3,0,1,3,7,1,3,39,25,0.312,18.8,17.6,7.94,4.5,0.356,0.336,0.692,32,3,34.0,0,0,5,9,1,1.0,0.063,0.0,0.0463871543,0.857298815,0,580.6666666666666,0.0,1979,3,12,33,27229.33391191148,0.0,0.0
98259,이혜천,1998,두산,2012,7.45,48,1,3,0,7,0.25,38.66666666666666,42,2,21,5,25,33,32,1.63,0,0,0,1,179,666,0.286,11,2,5,1,0,4,0,1,0,1,7,12,0,1,52,29,0.331,13.9,17.2,5.82,4.89,0.391,0.429,0.82,48,1,38.66666666666666,1,0,7,6,0,0.929,-0.239,0.0,0.0102040816,0.867502897,0,619.3333333333333,0.0,1979,3,12,34,21503.75326370757,0.0,0.0
98259,이혜천,1998,두산,2013,11.57,13,0,1,0,0,0.0,9.333333333333334,16,0,7,5,7,12,12,2.46,0,0,0,1,54,205,0.39,6,0,1,0,1,0,0,1,0,0,2,2,0,2,11,7,0.471,15.8,22.0,6.75,6.75,0.528,0.537,1.065,13,1,9.333333333333334,0,0,1,1,0,1.0,-0.202,0.0,0.0516684607,0.919171357,0,628.6666666666666,0.0,1979,3,12,35,10616.528026747768,0.0,0.0
98259,이혜천,1998,NC,2014,3.0,25,1,0,0,2,1.0,18.0,22,0,8,2,17,7,6,1.67,0,0,0,2,85,301,0.306,7,0,1,2,0,1,0,0,0,1,6,4,0,0,19,16,0.386,12.0,16.7,8.5,4.0,0.381,0.403,0.784,25,0,18.0,0,0,0,3,0,1.0,0.521,0.0,0.0247619048,0.943933262,0,646.6666666666666,0.0,1979,3,12,36,9487.800000000001,0.0,0.0
98330,김수경,1998,현대,2002,4.88,27,12,10,0,0,0.545,151.33333333333334,155,25,58,2,130,84,82,1.41,0,0,12,0,657,2670,0.267,28,2,12,5,1,8,0,27,12,0,0,0,0,8,132,168,0.302,98.9,17.6,7.73,3.45,0.333,0.452,0.785,27,27,151.33333333333334,0,0,10,20,0,1.0,2.134,0.0,0.131147541,0.131147541,0,151.33333333333334,0.0,1979,8,20,24,21457.358029717077,0.0,0.0
98330,김수경,1998,현대,2003,4.63,29,10,9,0,0,0.526,167.0,184,14,70,4,121,96,86,1.52,1,1,13,0,738,2991,0.286,34,2,14,6,0,12,0,29,10,0,1,0,0,13,154,191,0.33,103.1,17.9,6.52,3.77,0.356,0.41,0.766,29,29,167.0,0,0,10,28,2,1.0,3.141,0.0,0.253968254,0.385115795,0,318.33333333333337,0.0,1979,8,20,25,30380.005501630847,0.0,0.0
98330,김수경,1998,현대,2004,4.01,26,11,8,0,0,0.579,152.66666666666666,151,14,62,3,100,74,68,1.4,0,0,15,0,668,2607,0.257,28,2,8,7,0,7,1,26,11,0,0,0,0,7,139,205,0.285,100.3,17.1,5.9,3.66,0.327,0.383,0.71,26,26,152.66666666666666,0,2,5,25,2,1.0,3.189,0.0,0.284848485,0.66996428,0,471.0,0.0,1979,8,20,26,40316.65901789811,0.0,0.0
