ID,선수명,연도,뉴스개수,min,max,Min-Max,Min-Max 누적
61463,김정혁,2015,14,0,3985,0.0035131744,0.00705508703
61463,김정혁,2016,16,0,1102,0.0145190563,0.0215741433
61463,김정혁,2017,24,0,1631,0.0147148988,0.0362890421
61554,김민하,2011,13,0,1694,0.00767414404,0.00767414404
61554,김민하,2014,66,0,3931,0.016789621,0.024463765
61554,김민하,2015,53,0,3985,0.0132998745,0.0377636395
61554,김민하,2016,9,0,1102,0.00816696915,0.0459306087
61554,김민하,2018,59,0,1881,0.0313662945,0.0772969032
61554,김민하,2019,47,0,1121,0.041926851,0.119223754
61554,김민하,2020,21,1,1171,0.0170940171,0.136317771
61566,허일,2011,2,0,1694,0.00118063754,0.00118063754
61566,허일,2018,9,0,1881,0.004784689,0.00596532654
61566,허일,2019,37,0,1121,0.0330062444,0.0389715709
61566,허일,2020,21,1,1171,0.0170940171,0.056065588
61591,김사훈,2012,12,0,1578,0.00760456274,0.00760456274
61591,김사훈,2013,11,0,1567,0.00701978302,0.0146243458
61591,김사훈,2014,13,0,3931,0.00330704655,0.0179313923
61591,김사훈,2016,27,0,1102,0.0245009074,0.0424322997
61591,김사훈,2017,68,0,1631,0.0416922134,0.0841245131
61591,김사훈,2018,49,0,1881,0.0260499734,0.110174487
61591,김사훈,2019,8,0,1121,0.00713648528,0.117310972
61604,유재혁,2013,0,0,1567,0,0
61652,윤정우,2011,17,0,1694,0.0100354191,0.0100354191
61652,윤정우,2012,22,0,1578,0.0139416984,0.0239771175
61652,윤정우,2016,14,0,1102,0.0127041742,0.0366812917
61652,윤정우,2018,19,0,1881,0.0101010101,0.0467823018
61658,정상교,2011,9,0,1694,0.00531286895,0.00531286895
61658,정상교,2012,3,0,1578,0.00190114068,0.00721400963
61693,한성구,2012,29,0,1578,0.0183776933,0.0183776933
61700,강경학,2011,3,0,1694,0.00177095632,0.00177095632
61700,강경학,2014,81,0,3931,0.0206054439,0.0223764002
61700,강경학,2015,272,0,3985,0.0682559598,0.09063236
61700,강경학,2016,38,0,1102,0.0344827586,0.125115119
61700,강경학,2017,56,0,1631,0.0343347639,0.159449883
61700,강경학,2018,92,0,1881,0.0489101542,0.208360037
61700,강경학,2019,14,0,1121,0.0124888492,0.220848886
61700,강경학,2020,35,1,1171,0.0290598291,0.249908715
61710,김용호,2011,12,0,1694,0.00708382527,0.00708382527
61742,나성용,2011,73,0,1694,0.0430932704,0.0430932704
61742,나성용,2015,178,0,3985,0.0446675031,0.0877607735
61742,나성용,2016,14,0,1102,0.0127041742,0.100464948
61742,나성용,2017,8,0,1631,0.00490496628,0.105369914
61743,오준혁,2011,1,0,1694,0.000590318772,0.000590318772
61743,오준혁,2012,11,0,1578,0.00697084918,0.00756116795
61743,오준혁,2015,151,0,3985,0.0378920954,0.0454532634
61743,오준혁,2016,57,0,1102,0.0517241379,0.0971774013
61743,오준혁,2017,14,0,1631,0.00858369099,0.105761092
61743,오준혁,2018,21,0,1881,0.0111642743,0.116925367
61743,오준혁,2019,23,0,1121,0.0205173952,0.137442762
61743,오준혁,2020,26,1,1171,0.0213675214,0.158810283
61865,이윤재,2018,12,0,1881,0.00637958533,0.00637958533
61869,정진기,2011,4,0,1694,0.00236127509,0.00236127509
61869,정진기,2012,21,0,1578,0.0133079848,0.0156692599
61869,정진기,2013,11,0,1567,0.00701978302,0.0226890429
61869,정진기,2017,99,0,1631,0.0606989577,0.0833880006
61869,정진기,2018,64,0,1881,0.0340244551,0.117412456
61869,정진기,2019,9,0,1121,0.00802854594,0.125441002
61869,정진기,2020,51,1,1171,0.0427350427,0.168176044
61893,박계현,2014,98,0,3931,0.0249300432,0.0249300432
61893,박계현,2015,108,0,3985,0.0271016311,0.0520316743
61962,김경근,2013,12,0,1567,0.00765794512,0.00765794512
62007,김지성,2012,0,0,1578,0,0
62007,김지성,2013,0,0,1567,0,0
62007,김지성,2014,3,0,3931,0.000763164589,0.000763164589
62007,김지성,2015,2,0,3985,0.000501882058,0.00126504665
62007,김지성,2016,0,0,1102,0,0.00126504665
62007,김지성,2017,11,0,1631,0.00674432863,0.00800937528
62016,윤병호,2015,31,0,3985,0.00777917189,0.00777917189
62016,윤병호,2016,8,0,1102,0.00725952813,0.0150387
62016,윤병호,2017,15,0,1631,0.00919681177,0.0242355118
62016,윤병호,2018,7,0,1881,0.00372142477,0.0279569366
62025,이원재,2017,21,0,1631,0.0128755365,0.0128755365
62025,이원재,2018,26,0,1881,0.0138224349,0.0266979714
62025,이원재,2019,55,0,1121,0.0490633363,0.0757613077
62025,이원재,2020,9,1,1171,0.00683760684,0.0825989145
62147,조윤준,2012,51,0,1578,0.0323193916,0.0323193916
62147,조윤준,2013,79,0,1567,0.0504148054,0.082734197
62147,조윤준,2014,23,0,3931,0.00585092852,0.0885851255
62147,조윤준,2015,12,0,3985,0.00301129235,0.0915964179
62147,조윤준,2016,18,0,1102,0.0163339383,0.107930356
62147,조윤준,2017,43,0,1631,0.0263641937,0.13429455
62164,서상우,2012,1,0,1578,0.000633713561,0.000633713561
62164,서상우,2015,61,0,3985,0.0153074028,0.0159411164
62164,서상우,2016,109,0,1102,0.0989110708,0.114852187
62164,서상우,2017,17,0,1631,0.0104230533,0.12527524
62164,서상우,2018,15,0,1881,0.00797448166,0.133249722
62164,서상우,2019,15,0,1121,0.0133809099,0.146630632
62234,류지혁,2012,15,0,1578,0.00950570342,0.00950570342
62234,류지혁,2015,7,0,3985,0.0017565872,0.0112622906
62234,류지혁,2016,63,0,1102,0.057168784,0.0684310746
62234,류지혁,2017,229,0,1631,0.14040466,0.208835735
62234,류지혁,2018,129,0,1881,0.0685805423,0.277416277
62234,류지혁,2019,95,0,1121,0.0847457627,0.36216204
62234,류지혁,2020,118,1,1171,0.1,0.46216204
62244,박세혁,2012,27,0,1578,0.0171102662,0.0171102662
62244,박세혁,2013,23,0,1567,0.0146777281,0.0317879943
62244,박세혁,2016,183,0,1102,0.166061706,0.1978497
62244,박세혁,2017,189,0,1631,0.115879828,0.313729528
62244,박세혁,2018,83,0,1881,0.0441254652,0.357854994
62244,박세혁,2019,578,0,1121,0.515611062,0.873466056
62244,박세혁,2020,496,1,1171,0.423076923,1.296542979
62265,유민상,2015,156,0,3985,0.0391468005,0.0391468005
62265,유민상,2016,52,0,1102,0.0471869328,0.0863337333
62265,유민상,2017,49,0,1631,0.0300429185,0.116376652
62265,유민상,2018,26,0,1881,0.0138224349,0.130199087
62265,유민상,2019,54,0,1121,0.0481712756,0.178370362
62265,유민상,2020,99,1,1171,0.0837606838,0.262131046
62302,지재옥,2012,52,0,1578,0.0329531052,0.0329531052
62302,지재옥,2013,29,0,1567,0.0185067007,0.0514598059
62302,지재옥,2016,5,0,1102,0.00453720508,0.055997011
62332,김재현,2015,1063,0,3985,0.266750314,0.266750314
62332,김재현,2016,537,0,1102,0.487295826,0.75404614
62332,김재현,2017,816,0,1631,0.50030656,1.2543527
62332,김재현,2018,664,0,1881,0.353003721,1.607356421
62332,김재현,2020,251,1,1171,0.213675214,1.821031635
62353,박정음,2016,99,0,1102,0.0898366606,0.0898366606
62353,박정음,2017,52,0,1631,0.0318822808,0.121718941
62353,박정음,2018,19,0,1881,0.0101010101,0.131819952
62353,박정음,2019,57,0,1121,0.0508474576,0.182667409
62353,박정음,2020,54,1,1171,0.0452991453,0.227966554
62356,김규민,2017,24,0,1631,0.0147148988,0.0147148988
62356,김규민,2018,133,0,1881,0.0707070707,0.0854219695
62356,김규민,2019,102,0,1121,0.0909901873,0.176412157
62356,김규민,2020,49,1,1171,0.041025641,0.217437798
62404,구자욱,2015,1059,0,3985,0.26574655,0.26574655
62404,구자욱,2016,329,0,1102,0.298548094,0.564294644
62404,구자욱,2017,776,0,1631,0.475781729,1.040076373
62404,구자욱,2018,268,0,1881,0.142477406,1.182553779
62404,구자욱,2019,135,0,1121,0.120428189,1.302981968
62404,구자욱,2020,257,1,1171,0.218803419,1.521785387
62406,성의준,2012,0,0,1578,0,0
62406,성의준,2013,15,0,1567,0.0095724314,0.0095724314
62406,성의준,2016,21,0,1102,0.0190562613,0.0286286927
62406,성의준,2017,6,0,1631,0.00367872471,0.0323074174
62409,박찬도,2013,2,0,1567,0.00127632419,0.00127632419
62409,박찬도,2014,17,0,3931,0.00432459934,0.00560092353
62409,박찬도,2015,71,0,3985,0.017816813,0.0234177365
62409,박찬도,2018,12,0,1881,0.00637958533,0.0297973219
62409,박찬도,2019,11,0,1121,0.00981266726,0.0396099891
62409,박찬도,2020,41,1,1171,0.0341880342,0.0737980233
62415,박해민,2014,414,0,3931,0.105316713,0.105316713
62415,박해민,2015,382,0,3985,0.095859473,0.201176186
