ID,선수명,연도,뉴스개수
74849,김원,2004,0
73827,김형철,2004,2
92809,박경완,2004,71
74846,박정권,2004,1
73853,송수근,2004,0
97404,송재익,2004,1
70814,신주일,2004,0
97157,안재만,2004,1
73856,양승학,2004,0
70148,윤현식,2004,2
72852,윤형국,2004,3
72860,이대수,2004,0
99810,이진영,2004,26
94629,이호준,2004,16
74823,임훈,2004,0
96441,정경배,2004,8
98533,조경환,2004,1
94836,조원우,2004,11
71835,조중근,2004,1
70833,채종범,2004,7
73824,최경철,2004,2
70224,강봉규,2004,2
95712,강인권,2004,4
98218,김동주,2004,62
74206,김재호,2004,1
97644,김창희,2004,8
73209,나주환,2004,2
97219,문희성,2004,0
74242,방승재,2004,0
73231,백승훈,2004,1
73213,손시헌,2004,13
92207,안경현,2004,5
74223,용덕한,2004,0
72220,유재웅,2004,4
98246,윤상무,2004,0
74215,윤석민,2004,0
98808,윤재국,2004,2
99229,이승준,2004,18
99507,임재철,2004,2
92211,장원진,2004,9
91465,전상렬,2004,1
70240,정원석,2004,4
72742,채상병,2004,4
70117,최경환,2004,12
74239,홍마태,2004,0
99222,홍성흔,2004,51
96723,홍원기,2004,3
92306,황윤성,2004,0
74540,강민호,2004,0
73224,김만윤,2004,1
95468,김승관,2004,6
70410,김주찬,2004,19
94415,김태균,2004,15
72546,문규현,2004,2
99544,박경진,2004,0
70553,박기혁,2004,16
71815,박준서,2004,0
98130,박연수,2004,2
73543,박정준,2004,0
91514,박정태,2004,12
74565,박진환,2004,1
95518,박현승,2004,2
74564,서정호,2004,3
74562,성민국,2004,0
98538,손인호,2004,9
71504,신명철,2004,1
71648,심제훈,2004,0
96468,이계성,2004,3
71564,이대호,2004,23
73563,이인구,2004,2
95208,정수근,2004,84
99543,조성환,2004,6
73567,조인신,2004,0
96704,조효상,2004,2
96224,최기문,2004,5
71552,최준석,2004,0
72522,허일상,2004,3
74559,황이갑,2004,0
98420,강동우,2004,43
73409,강명구,2004,11
73732,고지행,2004,1
73455,곽용섭,2004,1
96503,김대익,2004,4
95409,김재걸,2004,2
94539,김종훈,2004,4
94450,김한수,2004,27
74465,박석민,2004,4
70408,박정환,2004,3
92906,박종호,2004,137
71432,박한이,2004,51
91470,신동주,2004,5
93410,양준혁,2004,75
74402,이정식,2004,3
72448,이태호,2004,1
72466,조동찬,2004,45
97202,진갑용,2004,53
94426,최익성,2004,4
72443,최형우,2004,0
72427,현재윤,2004,16
74745,고동진,2004,7
74704,권영근,2004,1
96777,김수연,2004,2
95710,김승권,2004,0
89214,김종석,2004,2
71752,김태균,2004,39
73713,맹진국,2004,0
74756,박노민,2004,1
97709,백재호,2004,1
98742,신경현,2004,8
72559,신종길,2004,12
96722,심광호,2004,0
93225,이도형,2004,7
70756,이범호,2004,19
70738,이상현,2004,0
71744,이송영,2004,0
73725,이양기,2004,0
96734,이영우,2004,12
74746,이창훈,2004,0
96766,임수민,2004,1
87760,장종훈,2004,27
74720,조문기,2004,0
70723,조윤채,2004,0
72752,조현수,2004,2
73757,최민준,2004,0
74729,최진행,2004,12
73703,한상훈,2004,2
99731,황우구,2004,0
72312,강귀태,2004,11
72325,강병식,2004,0
90419,김동수,2004,17
72303,김민우,2004,3
97300,김일경,2004,2
96307,박진만,2004,71
98504,서한규,2004,1
96761,송지만,2004,26
94204,심정수,2004,123
94310,이숭용,2004,11
73342,이택근,2004,6
70364,전근표,2004,6
91511,전준호,2004,16
99606,정성훈,2004,11
97350,정수성,2004,0
72313,조재호,2004,0
73306,지석훈,2004,0
98315,채종국,2004,18
71610,김경언,2005,4
99614,김경진,2005,1
71609,김민철,2005,11
70612,김상훈,2005,27
74642,김성호,2005,2
71207,김원섭,2005,1
96616,김종국,2005,12
74605,김주형,2005,6
95549,마해영,2005,36
75640,백정훈,2005,1
73606,서동욱,2005,9
97103,손지환,2005,16
75612,송산,2005,6
91470,신동주,2005,0
95114,심재학,2005,11
74650,이영수,2005,1
74163,이용규,2005,22
92304,이재주,2005,0
93607,이종범,2005,95
75648,임성민,2005,2
96610,장성호,2005,91
99607,장일현,2005,0
74635,주창훈,2005,1
73602,차일목,2005,1
75608,최훈락,2005,1
70626,홍세완,2005,22
90695,홍현우,2005,13
95158,권용관,2005,7
72108,김우석,2005,0
93112,김정민,2005,6
74158,김태완,2005,8
73113,박경수,2005,5
74103,박기남,2005,26
75125,박병호,2005,32
72133,박용택,2005,107
94162,서용빈,2005,3
95666,안상준,2005,0
97157,안재만,2005,3
72161,안치용,2005,2
72169,오태근,2005,1
73153,이대형,2005,4
97109,이병규,2005,141
73136,이성열,2005,15
91015,이종열,2005,2
74148,이시찬,2005,0
75151,정의윤,2005,28
98144,조인성,2005,53
70649,최길성,2005,0
94132,최동수,2005,4
70122,최승환,2005,0
99554,한규식,2005,18
92509,강성우,2005,2
71837,김강민,2005,1
91803,김기태,2005,12
91523,김민재,2005,37
94107,김재현,2005,112
94415,김태균,2005,34
73827,김형철,2005,0
92809,박경완,2005,34
71857,박재상,2005,1
96362,박재홍,2005,82
72860,이대수,2005,4
99810,이진영,2005,56
94629,이호준,2005,55
96441,정경배,2005,39
75808,정근우,2005,5
98533,조경환,2005,5
71848,조동화,2005,41
71835,조중근,2005,11
70833,채종범,2005,4
73824,최경철,2005,2
94426,최익성,2005,11
75847,최정,2005,16
70224,강봉규,2005,1
95712,강인권,2005,0
72214,고영민,2005,0
98218,김동주,2005,115
74206,김재호,2005,4
73604,김주호,2005,4
97644,김창희,2005,21
73209,나주환,2005,7
97219,문희성,2005,15
74242,방승재,2005,0
73213,손시헌,2005,41
92207,안경현,2005,31
74223,용덕한,2005,13
74215,윤석민,2005,15
75266,윤승균,2005,18
71202,이대현,2005,0
99229,이승준,2005,2
99507,임재철,2005,25
92211,장원진,2005,18
91465,전상렬,2005,7
70240,정원석,2005,0
70117,최경환,2005,11
99222,홍성흔,2005,109
96723,홍원기,2005,45
92306,황윤성,2005,1
74540,강민호,2005,17
71650,권민성,2005,1
95468,김승관,2005,2
99544,박경진,2005,0
70553,박기혁,2005,43
71815,박준서,2005,0
98130,박연수,2005,2
73543,박정준,2005,11
71562,박종윤,2005,0
74565,박진환,2005,4
95518,박현승,2005,2
98538,손인호,2005,19
71504,신명철,2005,32
96468,이계성,2005,1
71564,이대호,2005,92
75554,이동훈,2005,5
75566,이원석,2005,17
95208,정수근,2005,95
73567,조인신,2005,13
96704,조효상,2005,1
96224,최기문,2005,5
71552,최준석,2005,21
75563,황준영,2005,5
98420,강동우,2005,17
73409,강명구,2005,5
73455,곽용섭,2005,0
96503,김대익,2005,17
73438,김영복,2005,1
95409,김재걸,2005,29
94539,김종훈,2005,15
94450,김한수,2005,41
74465,박석민,2005,6
70408,박정환,2005,3
92906,박종호,2005,22
96307,박진만,2005,74
71432,박한이,2005,73
75442,손승현,2005,1
72456,손주인,2005,0
94204,심정수,2005,227
93410,양준혁,2005,113
74402,이정식,2005,4
72466,조동찬,2005,65
75441,조영훈,2005,7
97202,진갑용,2005,35
73468,허연철,2005,0
74745,고동진,2005,11
73732,고지행,2005,1
74704,권영근,2005,1
96777,김수연,2005,8
90811,김인철,2005,21
71752,김태균,2005,145
74756,박노민,2005,1
75705,백승룡,2005,11
97709,백재호,2005,7
98742,신경현,2005,36
96722,심광호,2005,4
93225,이도형,2005,41
70756,이범호,2005,92
73725,이양기,2005,1
96766,임수민,2005,2
87760,장종훈,2005,102
75706,전현태,2005,5
75762,정희상,2005,1
94836,조원우,2005,37
72752,조현수,2005,1
74729,최진행,2005,9
73703,한상훈,2005,6
72312,강귀태,2005,6
72325,강병식,2005,9
90419,김동수,2005,18
95710,김승권,2005,0
97300,김일경,2005,1
98504,서한규,2005,2
96761,송지만,2005,51
70312,오윤,2005,0
75334,오재일,2005,0
75392,유덕형,2005,0
74339,유한준,2005,0
94310,이숭용,2005,17
73342,이택근,2005,3
70303,장교성,2005,1
70364,전근표,2005,2
91511,전준호,2005,56
99606,정성훈,2005,26
97350,정수성,2005,23
97335,조승현,2005,0
72313,조재호,2005,0
73306,지석훈,2005,1
75307,차화준,2005,0
98315,채종국,2005,19
71610,김경언,2006,13
99614,김경진,2006,4
71609,김민철,2006,11
70612,김상훈,2006,17
71207,김원섭,2006,11
96616,김종국,2006,26
74605,김주형,2006,9
97103,손지환,2006,9
75612,송산,2006,6
91470,신동주,2006,2
