선수명,ID,팀명,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,땅볼/뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,삼진/볼넷,피출루율,피장타율,피OPS
전준호,94364,SK,3.60,8,2,0,0,0,1.000,15,9,1,6,1,12,7,6,1.00,0,0,1,0,60,222,0.180,2,0,2,1,0,1,0,1,1,1,2,0,0,0,17,13,1.31,0.211,27.8,14.8,7.20,3.60,2.00,0.276,0.280,0.556
이승호,70820,SK,4.22,65,6,4,20,5,0.600,89 2/3,81,12,51,4,96,44,42,1.47,0,0,1,4,395,1656,0.244,16,1,7,1,6,3,0,5,0,6,39,29,2,8,67,89,0.75,0.307,25.5,18.5,9.64,5.12,1.88,0.351,0.407,0.758
가득염,92501,SK,4.41,21,0,0,0,1,-,16 1/3,14,1,10,0,12,9,8,1.47,0,0,0,0,71,259,0.233,3,0,0,1,0,2,0,0,0,0,6,0,0,0,13,22,0.59,0.271,12.3,15.9,6.61,5.51,1.20,0.338,0.333,0.671
박희수,76858,SK,4.58,14,0,0,0,0,-,17 2/3,23,2,7,0,15,9,9,1.70,0,0,0,0,78,307,0.324,4,1,0,0,0,0,0,0,0,0,7,0,0,3,20,13,1.54,0.389,21.9,17.4,7.64,3.57,2.14,0.385,0.493,0.878
문광은,60845,SK,4.82,12,0,0,0,0,-,18 2/3,13,1,11,0,16,10,10,1.29,0,0,0,0,75,293,0.206,1,0,1,0,1,1,1,2,0,0,5,0,0,3,23,11,2.09,0.261,24.4,15.7,7.71,5.30,1.45,0.324,0.270,0.594
고효준,72523,SK,5.15,51,8,6,2,1,0.571,106 2/3,106,16,61,5,101,68,61,1.57,0,0,1,0,476,1934,0.263,15,3,6,1,0,9,0,10,2,6,5,1,0,13,108,89,1.21,0.314,37.9,18.1,8.52,5.15,1.66,0.366,0.434,0.800
글로버,79858,SK,5.66,22,6,8,0,0,0.429,105,113,18,50,5,85,71,66,1.55,0,0,7,0,471,1855,0.279,16,4,7,4,1,7,1,22,6,0,0,0,0,5,107,104,1.03,0.310,84.3,17.7,7.29,4.29,1.70,0.362,0.472,0.834
엄정욱,70855,SK,6.27,34,4,3,0,0,0.571,66,62,6,40,3,67,46,46,1.55,0,0,0,0,295,1192,0.255,10,1,7,2,0,10,0,6,1,3,5,1,0,4,46,70,0.66,0.326,35.1,18.1,9.14,5.45,1.68,0.365,0.379,0.744
이재영,72216,SK,6.75,8,0,0,0,0,-,10 2/3,15,2,10,2,6,9,8,2.34,0,0,0,2,55,227,0.375,1,0,1,2,0,3,0,0,0,0,1,2,0,2,6,15,0.40,0.382,28.4,21.3,5.06,8.44,0.60,0.500,0.550,1.050
임성헌,78843,SK,10.38,8,0,0,0,0,-,8 2/3,16,5,3,0,3,10,10,2.19,0,0,0,0,44,162,0.400,2,0,1,0,0,0,0,0,0,0,4,0,0,0,9,12,0.75,0.344,20.3,18.7,3.12,3.12,1.00,0.442,0.825,1.267
