데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,연봉,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수
1992,2009,0.207,42,67,58,6,12,2,0,1,17,5,7,0,1,0,1,9,2,0.293,0.233,0.526,2,0.267,0.25,3,21,16,0,3.16,0.086,3.4,0.178,42,0,0,0,0.0,0,0,40,10,143.66666666666669,0,0,117,12,14,0,0,0,1.0,0.0,-0.579,0.0406417112,0.509641112,0,3127,0.8723624523466357,7000,1970,2,13,40,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1992,2002,0.275,130,488,444,55,122,12,3,1,143,30,7,3,31,0,3,65,10,0.322,0.324,0.646,30,0.19,0.375,16,143,117,0,3.75,0.047,45.7,0.226,130,4,2,2,50.0,0,0,144,113,1014.0,6,0,940,41,82,0,0,0,0.9879289940828402,0.0,-0.102,0.00943396226,0.00943396226,0,488,0.6169513209526039,13700,1969,6,15,34,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1992,2003,0.29,124,429,386,46,112,23,1,5,152,48,4,4,31,1,4,38,6,0.394,0.346,0.74,30,0.272,0.391,29,124,116,0,3.76,0.104,52.4,0.254,124,2,1,1,50.0,0,0,128,85,770.6666666666667,6,0,599,37,55,0,0,0,0.9880769896193772,0.0,1.058,0.00602409639,0.0154580586,0,917,0.9134601452569628,22500,1969,6,15,35,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1992,2004,0.284,130,486,429,51,122,15,4,5,160,49,5,3,44,1,5,54,5,0.373,0.356,0.729,37,0.287,0.143,24,133,123,0,3.95,0.089,57.5,0.253,130,13,5,8,38.5,0,0,144,118,948.3333333333334,6,0,895,66,100,0,0,0,0.994693848857645,0.0,1.16,0.0656934307,0.0811514893,0,1403,0.5151109186988585,22500,1969,6,15,36,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1992,2005,0.286,123,478,423,58,121,16,0,3,146,42,2,2,42,1,9,53,5,0.345,0.361,0.706,32,0.279,0.0,19,147,104,0,3.91,0.059,54.9,0.249,123,8,4,4,50.0,0,0,130,106,853.0,5,0,759,47,91,0,0,0,0.9946822977725672,0.0,1.259,0.0792951542,0.160446644,0,1881,0.5110246530026017,20000,1969,6,15,37,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1992,2006,0.253,98,214,198,8,50,8,0,2,64,19,3,4,7,0,2,22,7,0.323,0.28,0.603,10,0.185,0.233,10,70,60,0,3.41,0.071,16.8,0.207,98,3,1,2,33.3,0,0,62,40,334.0,2,0,180,9,18,0,0,0,0.9883163672654692,0.0,-0.301,0.0155807365,0.17602738,0,2095,0.989037076994774,15000,1969,6,15,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1996,2002,0.219,126,466,401,47,88,24,0,12,148,57,9,4,47,2,5,85,6,0.369,0.306,0.675,18,0.206,0.0,36,111,121,0,4.25,0.15,47.6,0.23,126,7,2,5,28.6,0,0,123,120,1040.6666666666667,12,0,188,357,82,0,0,0,0.978,0.0,1.405,0.0471698113,0.0471698113,0,466,0.0,17000,1976,11,30,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1996,2003,0.283,129,515,421,68,119,26,0,16,193,48,22,4,55,0,13,66,14,0.458,0.379,0.837,33,0.232,0.0,42,93,147,0,3.94,0.176,72.3,0.285,129,11,6,5,54.5,0,0,129,125,1088.3333333333333,19,0,205,393,75,0,0,0,0.969,0.0,4.089,0.0502008032,0.0973706145,0,981,0.0,28000,1976,11,30,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1996,2004,0.286,129,506,434,65,124,18,0,17,193,69,10,5,48,2,9,67,10,0.445,0.365,0.81,34,0.295,1.0,35,112,136,0,3.86,0.159,71.4,0.276,129,9,6,3,66.7,0,0,128,123,1041.3333333333333,14,0,199,362,63,0,0,0,0.976,0.0,4.032,0.518248175,0.61561879,1,1487,0.0,97500,1976,11,30,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1996,2005,0.249,85,333,281,34,70,16,0,7,107,44,9,2,32,0,9,47,8,0.381,0.343,0.724,18,0.284,1.0,23,72,94,0,3.92,0.132,38.1,0.25,85,7,5,2,71.4,0,0,84,80,686.0,10,0,115,223,33,0,0,0,0.971,0.0,1.894,0.325991189,0.941609979,0,1820,0.0,97500,1976,11,30,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
