데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,연봉,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대
2003,2008,3.76,42,5,2,1,12,0.714,69.33333333333333,64,3,41,6,47,33,29,1.51,0,0,0,1,299,1202,0.26,10,0,5,1,2,0,0,1,0,5,4,14,0,13,89,47,0.31,28.6,17.3,6.1,5.32,0.378,0.337,0.715,42,1,70.0,0,1,7,15,2,1.0,1.358,0.0339588919,0.140008533,0,249.0,0.0,7500,1984,7,28,25,0,0,0,0,0,0,0,0,0,1,0
2003,2009,7.26,32,1,4,0,0,0.2,53.333333333333336,70,9,37,4,46,53,43,2.01,0,0,0,0,265,990,0.318,13,3,3,1,2,8,0,3,0,1,11,0,0,8,68,37,0.367,30.9,18.6,7.76,6.24,0.424,0.527,0.951,32,3,53.333333333333336,1,0,2,7,0,0.8999999999999999,-0.277,0.030261348,0.170269881,0,302.3333333333333,0.0,6500,1984,7,28,26,0,0,0,0,0,0,0,0,0,1,0
2003,2010,3.38,47,1,2,0,4,0.333,58.66666666666666,57,3,36,5,45,28,22,1.59,0,0,0,1,269,1093,0.26,13,1,4,5,3,3,0,0,0,1,15,3,0,2,57,65,0.307,23.3,18.6,6.9,5.52,0.37,0.37,0.74,46,0,58.0,0,1,2,8,1,1.0,1.032,0.0527119939,0.222981875,0,361.0,0.0,7500,1984,7,28,27,0,0,0,0,0,0,0,0,0,1,0
2003,2014,4.63,43,7,2,9,3,0.778,72.0,69,11,31,1,73,39,37,1.39,0,0,0,3,311,1276,0.251,14,1,2,2,2,8,0,0,0,7,25,13,1,7,57,78,0.301,29.7,17.7,9.13,3.88,0.327,0.429,0.756,43,0,72.0,1,0,1,1,0,0.667,1.817,0.0700952381,0.300213598,0,452.0,0.0,17000,1984,7,28,31,0,0,0,0,0,0,0,0,0,1,0
2003,2015,2.66,40,3,2,10,3,0.6,50.66666666666666,39,3,21,0,48,15,15,1.18,0,0,0,2,205,848,0.217,6,0,4,0,3,2,0,0,0,3,24,15,0,5,41,52,0.279,21.2,16.7,8.53,3.73,0.299,0.3,0.599,40,0,50.66666666666666,0,1,1,7,0,1.0,2.074,0.16089613,0.461109728,0,502.6666666666666,0.0,17000,1984,7,28,32,0,0,0,0,0,0,0,0,0,1,0
2003,2016,6.82,41,7,7,1,3,0.5,100.33333333333331,125,19,54,8,74,78,76,1.78,0,0,2,0,472,1819,0.316,16,2,9,6,3,4,0,16,4,3,4,4,0,10,84,118,0.344,44.4,18.1,6.64,4.84,0.404,0.511,0.915,41,16,100.33333333333331,1,0,6,14,2,0.952,0.235,0.12605753,0.587167258,0,603.0,0.0,18000,1984,7,28,33,0,0,0,0,0,0,0,0,0,1,0
2003,2017,5.22,36,8,7,0,2,0.533,119.0,138,19,44,4,93,71,69,1.53,0,0,6,0,526,2018,0.297,20,2,3,11,0,5,0,18,5,3,3,2,0,15,104,140,0.328,56.1,17.0,7.03,3.33,0.356,0.472,0.828,36,18,119.0,0,0,11,8,4,1.0,1.679,0.0583596215,0.64552688,0,722.0,0.0,21000,1984,7,28,34,0,0,0,0,0,0,0,0,0,1,0
2003,2018,5.89,18,2,6,0,0,0.25,84.0,99,14,30,6,81,63,55,1.54,0,0,4,0,381,1550,0.292,22,2,2,4,0,3,0,17,2,0,1,0,0,7,67,96,0.343,86.1,18.5,8.68,3.21,0.356,0.493,0.849,18,17,84.0,0,0,6,6,0,1.0,0.176,0.0281273131,0.673654193,0,806.0,0.0,21000,1984,7,28,35,0,0,0,0,0,0,0,0,0,1,0
2003,2019,10.38,3,0,0,0,0,0.0,4.333333333333333,6,0,1,0,1,5,5,1.62,0,0,0,0,20,74,0.333,2,1,0,1,0,0,0,0,0,0,1,0,0,0,5,7,0.333,24.7,17.1,2.08,2.08,0.35,0.556,0.906,3,0,4.333333333333333,0,0,0,0,0,0.0,-0.1,0.0280629706,0.701717164,0,810.3333333333334,0.0,25000,1984,7,28,36,0,0,0,0,0,0,0,0,0,1,0
1996,2005,6.52,16,2,2,0,4,0.5,19.33333333333333,30,1,9,6,8,15,14,2.02,0,0,0,0,101,387,0.37,3,0,4,1,0,0,0,0,0,2,3,3,0,2,28,16,0.397,24.2,20.0,3.72,4.19,0.464,0.444,0.908,16,0,19.33333333333333,1,0,2,6,0,0.8889999999999999,-0.017,0.411552347,0.411552347,0,19.33333333333333,0.0,10110,1973,4,5,33,0,0,0,0,0,0,0,0,0,1,0
